term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,source
year::2012:exposure_1718,0.08592531163523993,0.059615753667860566,1.4413188855073236,0.14959794926919842,-0.030966111629013998,0.20281673489949387,2012,Federal IG revenue
year::2013:exposure_1718,-0.006922925030991664,0.053909935768321975,-0.1284164956297285,0.8978279000261183,-0.1126266817116847,0.09878083164970138,2013,Federal IG revenue
year::2014:exposure_1718,0.08056442832961261,0.050573262794899654,1.5930241372074887,0.11125908105692937,-0.0185969560948529,0.17972581275407812,2014,Federal IG revenue
year::2015:exposure_1718,0.07783772455715096,0.04598720370143856,1.6925952937363762,0.090635333719463,-0.012331557249686445,0.16800700636398835,2015,Federal IG revenue
year::2016:exposure_1718,0.09297203857147228,0.03936878023175803,2.361567669207936,0.018260783891068277,0.015779812182682443,0.1701642649602621,2016,Federal IG revenue
NA,0,NA,NA,NA,0,0,2017,Federal IG revenue
year::2018:exposure_1718,-0.013962006418736767,0.04264347594067409,-0.32741248481152924,0.7433785432223601,-0.0975750833146788,0.06965107047720527,2018,Federal IG revenue
year::2019:exposure_1718,-0.03956777468062653,0.04145740190191175,-0.9544200279179076,0.3399472067743545,-0.12085526020251446,0.0417197108412614,2019,Federal IG revenue
year::2020:exposure_1718,-0.06875092515759167,0.04694467555777674,-1.464509538956704,0.14315852079890298,-0.16079756724484057,0.023295716929657234,2020,Federal IG revenue
year::2021:exposure_1718,-0.10877824902436407,0.056355321638864066,-1.9302214211718351,0.05367263171489816,-0.2192767892522131,0.00172029120348495,2021,Federal IG revenue
year::2022:exposure_1718,-0.10075012402104198,0.06609338830979701,-1.5243601001177272,0.12752314230861905,-0.2303425514007566,0.02884230335867262,2022,Federal IG revenue
year::2012:exposure_1718,0.03983042000339488,0.019921978128965824,1.9993205366229627,0.045662833802255935,7.684567728673888e-4,0.07889238323392236,2012,State IG revenue
year::2013:exposure_1718,0.021667990591017473,0.020220534871460097,1.0715834535910502,0.2839925121486314,-0.017979366942326814,0.06131534812436176,2013,State IG revenue
year::2014:exposure_1718,0.004683267118801335,0.019781099250811264,0.23675464439162874,0.8128631438505298,-0.03410246824304728,0.04346900248064995,2014,State IG revenue
year::2015:exposure_1718,0.010490521957414619,0.018396408610391147,0.5702483663843542,0.568551536450134,-0.02558018508086089,0.046561228995690124,2015,State IG revenue
year::2016:exposure_1718,-0.0017490961476620652,0.017742902121780355,-0.09858004827265303,0.9214782327790076,-0.036538442155231984,0.03304024985990785,2016,State IG revenue
NA,0,NA,NA,NA,0,0,2017,State IG revenue
year::2018:exposure_1718,0.009047965550456939,0.015030422112580964,0.6019768096122523,0.54723461439776,-0.02042289282014318,0.03851882392105706,2018,State IG revenue
year::2019:exposure_1718,-0.014920129795103562,0.01706010715759362,-0.8745624899819264,0.3818813185121359,-0.04837068747490836,0.01853042788470123,2019,State IG revenue
year::2020:exposure_1718,-0.00818161281693543,0.025581490628481675,-0.3198254916320734,0.7491226725529544,-0.058340449446664625,0.04197722381279376,2020,State IG revenue
year::2021:exposure_1718,0.01896347259932453,0.029535283065342116,0.6420616507169024,0.5208817259010252,-0.0389477515588914,0.07687469675754047,2021,State IG revenue
year::2022:exposure_1718,-0.03600289082445627,0.02481645880964812,-1.450766650496448,0.14694836110354945,-0.08466169344230136,0.012655911793388819,2022,State IG revenue
year::2012:exposure_1718,0.0016809296721696145,0.006363687079959808,0.2641439861905075,0.7916869527037284,-0.010796657019683556,0.014158516364022785,2012,Property tax revenue
year::2013:exposure_1718,0.006800665455694281,0.005510425718884334,1.2341452008668352,0.2172446087917828,-0.004003890732010486,0.017605221643399047,2013,Property tax revenue
year::2014:exposure_1718,0.01213766667961631,0.005618317943932567,2.1603737632406923,0.030821986396777745,0.0011215610278192956,0.023153772331413323,2014,Property tax revenue
year::2015:exposure_1718,0.006904710651245449,0.00537573949030109,1.2844206204007707,0.19909311054311254,-0.0036357597836198163,0.017445181086110713,2015,Property tax revenue
year::2016:exposure_1718,0.0027743331690204334,0.004300778448094765,0.6450769790872293,0.5189261886141622,-0.005658409556112919,0.011207075894153786,2016,Property tax revenue
NA,0,NA,NA,NA,0,0,2017,Property tax revenue
year::2018:exposure_1718,-0.005021184736117205,0.005595717657266538,-0.897326320529548,0.3696161769936177,-0.015992976921115364,0.005950607448880952,2018,Property tax revenue
year::2019:exposure_1718,-0.010321298330358587,0.005484194939842265,-1.8820079234191929,0.05993080015848475,-0.02107442257061217,4.318259098949964e-4,2019,Property tax revenue
year::2020:exposure_1718,-0.021554352034994995,0.0070890693123016706,-3.0405051898126745,0.0023820399086005263,-0.035454230485548646,-0.007654473584441341,2020,Property tax revenue
year::2021:exposure_1718,-0.019098747845017274,0.007726218535041831,-2.47193989639252,0.013492818770540158,-0.034247915357477066,-0.003949580332557479,2021,Property tax revenue
year::2022:exposure_1718,-0.01681141529009571,0.008778574748358933,-1.915050651387167,0.05558018915468063,-0.034023988139333536,4.0115755914211376e-4,2022,Property tax revenue
