term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,source
year::2012:exposure_1718,0.08771304481365248,0.0459417678899412,1.9092222359352646,0.05632779201032979,-0.0023671488521092854,0.17779323847941425,2012,federal_ig_rev
year::2013:exposure_1718,0.0013735307977919761,0.04430603507790932,0.031000986555820453,0.9752707946488816,-0.08549940430434072,0.08824646589992469,2013,federal_ig_rev
year::2014:exposure_1718,0.029276620180565836,0.04179191376038086,0.7005331306057669,0.4836482094682869,-0.05266675853782637,0.11121999889895803,2014,federal_ig_rev
year::2015:exposure_1718,0.07246744652273972,0.03763107951917485,1.9257339265490394,0.054231076280976655,-0.0013175880248998961,0.14625248107037933,2015,federal_ig_rev
year::2016:exposure_1718,0.053201875250046105,0.032060000518129746,1.6594471113611102,0.09712921628002245,-0.009659681634661021,0.11606343213475323,2016,federal_ig_rev
year::2018:exposure_1718,-0.038764714861113006,0.03671289885639466,-1.055888150176977,0.29110349890099524,-0.11074942922687503,0.03321999950464902,2018,federal_ig_rev
year::2019:exposure_1718,-0.002695066888029174,0.03376279114680555,-0.0798235808263194,0.9363828407715757,-0.06889536576391998,0.06350523198786164,2019,federal_ig_rev
year::2020:exposure_1718,-0.02746222010693187,0.03831201817141009,-0.7168043193147481,0.47355009326502784,-0.10258240322383852,0.04765796300997479,2020,federal_ig_rev
year::2021:exposure_1718,-0.14517450662067882,0.045621073293430084,-3.1821808681906982,0.0014764919062285173,-0.23462589924790656,-0.05572311399345109,2021,federal_ig_rev
year::2022:exposure_1718,-0.05542218607195621,0.0514884051679268,-1.07640129639284,0.2818335185274879,-0.15637793336011288,0.04553356121620047,2022,federal_ig_rev
year::2012:exposure_1718,0.10630248286976855,0.04849542854964253,2.1920103821940993,0.028454588680794972,0.011215206165025637,0.20138975957451147,2012,local_ig_rev
year::2013:exposure_1718,0.03769975622736643,0.04997126134255858,0.7544287499354957,0.4506504413143382,-0.06028125552306825,0.1356807679778011,2013,local_ig_rev
year::2014:exposure_1718,0.05553940775968616,0.0466110895897202,1.1915492267731722,0.23353136581909964,-0.03585315656811079,0.1469319720874831,2014,local_ig_rev
year::2015:exposure_1718,0.0859709441602724,0.045522221307690895,1.8885489699455367,0.05904772655681344,-0.0032866247107393443,0.17522851303128414,2015,local_ig_rev
year::2016:exposure_1718,0.06558431046462279,0.039349708137483154,1.666703860559247,0.09567665772483731,-0.011570520368340637,0.14273914129758622,2016,local_ig_rev
year::2018:exposure_1718,-0.029352290699274933,0.03369290327386857,-0.8711713104889921,0.38372963955678807,-0.09541555712260247,0.0367109757240526,2018,local_ig_rev
year::2019:exposure_1718,-0.009314927775353296,0.038942443357004634,-0.23919731204225547,0.8109687644678718,-0.08567121532224563,0.06704135977153904,2019,local_ig_rev
year::2020:exposure_1718,-0.05951544917875615,0.04325561626846166,-1.375901080899633,0.1689539488242065,-0.14432877852057327,0.025297880163060976,2020,local_ig_rev
year::2021:exposure_1718,0.04167147670071303,0.046113092793928126,0.9036799350443928,0.3662369800051023,-0.04874464179423428,0.13208759519566032,2021,local_ig_rev
year::2022:exposure_1718,0.009250969814863438,0.045177803701760194,0.20476802891821425,0.8377671204757418,-0.07933128319284806,0.09783322282257494,2022,local_ig_rev
year::2012:exposure_1718,0.07857646311016706,0.022261269231153742,3.5297386817550587,4.2216194867801033e-4,0.034927741354575964,0.12222518486575815,2012,other_own_source
year::2013:exposure_1718,0.04781278720166276,0.021661779363793817,2.2072419074482204,0.02737185984416346,0.0053395135368332625,0.09028606086649225,2013,other_own_source
year::2014:exposure_1718,0.04897852444418785,0.021435164467897682,2.2849614481633864,0.022383896896932185,0.00694958530646609,0.09100746358190961,2014,other_own_source
year::2015:exposure_1718,0.07377331002603119,0.01877247754020605,3.92986540364887,8.689277321137173e-5,0.03696522687914451,0.11058139317291786,2015,other_own_source
