term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,model,model_label
year::2012:exposure_1718,-0.013430470528488541,0.016741542174007445,-0.8022242150033464,0.42248618461752874,-0.04625640280238126,0.019395461745404175,2012,spec_state_year,County + state-year FE
year::2013:exposure_1718,-0.018292976649593264,0.01803279816861427,-1.0144280703718975,0.31045953100176915,-0.053650735525041855,0.017064782225855328,2013,spec_state_year,County + state-year FE
year::2014:exposure_1718,0.010778220700555813,0.00713290011146978,1.5110572883565716,0.13087813276267268,-0.003207593362564121,0.024764034763675745,2014,spec_state_year,County + state-year FE
year::2015:exposure_1718,0.006863499093310658,0.006571828456869762,1.044381961330108,0.2963920182770315,-0.006022195282908744,0.01974919346953006,2015,spec_state_year,County + state-year FE
year::2016:exposure_1718,-0.0034365611501074797,0.006556086141896401,-0.5241787669851188,0.6001925483307863,-0.016291388826008668,0.009418266525793709,2016,spec_state_year,County + state-year FE
NA,0,NA,NA,NA,0,0,2017,spec_state_year,County + state-year FE
year::2018:exposure_1718,-0.01909848628377009,0.01655199458715496,-1.153848026182374,0.2486534834594804,-0.051552763653710185,0.013355791086170007,2018,spec_state_year,County + state-year FE
year::2019:exposure_1718,-0.022478993505248693,0.01703417777211883,-1.3196406545692987,0.1870547202539045,-0.055878710214571053,0.010920723204073668,2019,spec_state_year,County + state-year FE
year::2020:exposure_1718,-0.039359978936672715,0.01852717892303703,-2.124445340554886,0.03371367621415596,-0.07568709350190916,-0.003032864371436267,2020,spec_state_year,County + state-year FE
year::2021:exposure_1718,-0.039317476708686766,0.01892769365918856,-2.07724604046515,0.03786290724870144,-0.07642989942934622,-0.002205053988027318,2021,spec_state_year,County + state-year FE
year::2022:exposure_1718,-0.047045380364730285,0.018810007978366676,-2.501082424783499,0.012433823872415,-0.08392705121390062,-0.010163709515559949,2022,spec_state_year,County + state-year FE
